Area,Mang,Code,Place,Date_hour,SO2,CO,O3,NO2,PM10,PM25,Add,Date
서울 중구,도시대기,111121,중구,2020010112,0.003,0.7,0.005,0.033,33,28,서울 중구 덕수궁길 15,20200101
서울 중구,도시대기,111121,중구,2020010212,0.005,1.1,0.003,0.051,64,51,서울 중구 덕수궁길 15,20200102
서울 중구,도시대기,111121,중구,2020010312,0.005,0.7,0.022,0.022,65,49,서울 중구 덕수궁길 15,20200103
서울 중구,도시대기,111121,중구,2020010412,0.006,1.2,0.005,0.06,79,68,서울 중구 덕수궁길 15,20200104
서울 중구,도시대기,111121,중구,2020010512,0.005,1,0.01,0.044,67,55,서울 중구 덕수궁길 15,20200105
서울 중구,도시대기,111121,중구,2020010612,0.004,0.8,0.004,0.043,53,41,서울 중구 덕수궁길 15,20200106
서울 중구,도시대기,111121,중구,2020010712,0.003,0.6,0.004,0.035,12,10,서울 중구 덕수궁길 15,20200107
서울 중구,도시대기,111121,중구,2020010812,0.002,0.7,0.01,0.026,18,18,서울 중구 덕수궁길 15,20200108
서울 중구,도시대기,111121,중구,2020010912,0.004,0.6,0.024,0.016,53,50,서울 중구 덕수궁길 15,20200109
서울 중구,도시대기,111121,중구,2020011012,0.004,1.1,0.004,0.053,93,81,서울 중구 덕수궁길 15,20200110
서울 중구,도시대기,111121,중구,2020011112,0.004,0.7,0.016,0.031,56,52,서울 중구 덕수궁길 15,20200111
서울 중구,도시대기,111121,중구,2020011212,0.004,0.7,0.027,0.017,64,52,서울 중구 덕수궁길 15,20200112
서울 중구,도시대기,111121,중구,2020011312,0.003,0.4,0.023,0.014,26,19,서울 중구 덕수궁길 15,20200113
서울 중구,도시대기,111121,중구,2020011412,0.004,0.8,0.01,0.039,43,37,서울 중구 덕수궁길 15,20200114
서울 중구,도시대기,111121,중구,2020011512,0.005,0.5,0.024,0.02,40,29,서울 중구 덕수궁길 15,20200115
서울 중구,도시대기,111121,중구,2020011612,0.005,1,0.007,0.044,53,41,서울 중구 덕수궁길 15,20200116
서울 중구,도시대기,111121,중구,2020011712,0.005,0.9,0.008,0.045,61,47,서울 중구 덕수궁길 15,20200117
서울 중구,도시대기,111121,중구,2020011812,0.006,0.9,0.01,0.039,95,73,서울 중구 덕수궁길 15,20200118
서울 중구,도시대기,111121,중구,2020011912,0.004,0.9,0.012,0.037,69,62,서울 중구 덕수궁길 15,20200119
서울 중구,도시대기,111121,중구,2020012012,0.004,0.4,0.021,0.027,45,30,서울 중구 덕수궁길 15,20200120
서울 중구,도시대기,111121,중구,2020012112,0.005,0.8,0.009,0.043,48,35,서울 중구 덕수궁길 15,20200121
서울 중구,도시대기,111121,중구,2020012212,0.005,0.9,0.005,0.047,47,37,서울 중구 덕수궁길 15,20200122
서울 중구,도시대기,111121,중구,2020012312,0.005,0.9,0.007,0.054,69,56,서울 중구 덕수궁길 15,20200123
서울 중구,도시대기,111121,중구,2020012412,0.004,0.7,0.027,0.022,64,52,서울 중구 덕수궁길 15,20200124
서울 중구,도시대기,111121,중구,2020012512,0.003,0.6,0.017,0.026,32,29,서울 중구 덕수궁길 15,20200125
서울 중구,도시대기,111121,중구,2020012612,0.003,0.5,0.023,0.017,26,22,서울 중구 덕수궁길 15,20200126
서울 중구,도시대기,111121,중구,2020012712,0.002,0.3,0.032,0.012,11,7,서울 중구 덕수궁길 15,20200127
서울 중구,도시대기,111121,중구,2020012812,0.003,0.6,0.014,0.031,17,9,서울 중구 덕수궁길 15,20200128
서울 중구,도시대기,111121,중구,2020012912,0.003,0.4,0.018,0.024,15,9,서울 중구 덕수궁길 15,20200129
서울 중구,도시대기,111121,중구,2020013012,0.003,0.4,0.019,0.027,18,13,서울 중구 덕수궁길 15,20200130
서울 중구,도시대기,111121,중구,2020013112,0.003,0.5,0.011,0.032,19,15,서울 중구 덕수궁길 15,20200131
서울 용산구,도로변대기,111122,한강대로,2020010112,0.003,0.8,0.006,0.037,39,23,서울 용산구 한강대로 405,20200101
서울 용산구,도로변대기,111122,한강대로,2020010212,0.005,0.9,0.004,0.044,75,38,서울 용산구 한강대로 405,20200102
서울 용산구,도로변대기,111122,한강대로,2020010312,0.006,0.9,0.01,0.036,83,41,서울 용산구 한강대로 405,20200103
서울 용산구,도로변대기,111122,한강대로,2020010412,0.006,1.3,0.006,0.06,94,49,서울 용산구 한강대로 405,20200104
서울 용산구,도로변대기,111122,한강대로,2020010512,0.006,1.1,0.009,0.046,70,42,서울 용산구 한강대로 405,20200105
서울 용산구,도로변대기,111122,한강대로,2020010612,0.005,0.8,0.005,0.045,56,27,서울 용산구 한강대로 405,20200106
서울 용산구,도로변대기,111122,한강대로,2020010712,0.004,0.8,0.005,0.038,13,7,서울 용산구 한강대로 405,20200107
서울 용산구,도로변대기,111122,한강대로,2020010812,,,,,27,,서울 용산구 한강대로 405,20200108
서울 용산구,도로변대기,111122,한강대로,2020010912,0.005,0.8,0.017,0.026,52,34,서울 용산구 한강대로 405,20200109
서울 용산구,도로변대기,111122,한강대로,2020011012,0.005,1.3,0.005,0.064,107,61,서울 용산구 한강대로 405,20200110
서울 용산구,도로변대기,111122,한강대로,2020011112,0.005,1.1,0.017,0.036,55,36,서울 용산구 한강대로 405,20200111
서울 용산구,도로변대기,111122,한강대로,2020011212,0.006,0.8,0.022,0.024,56,32,서울 용산구 한강대로 405,20200112
서울 용산구,도로변대기,111122,한강대로,2020011312,0.004,0.6,0.017,0.022,35,16,서울 용산구 한강대로 405,20200113
서울 용산구,도로변대기,111122,한강대로,2020011412,0.005,1,0.008,0.051,56,30,서울 용산구 한강대로 405,20200114
서울 용산구,도로변대기,111122,한강대로,2020011512,0.005,0.8,0.016,0.036,40,17,서울 용산구 한강대로 405,20200115
서울 용산구,도로변대기,111122,한강대로,2020011612,0.004,0.8,0.01,0.038,57,25,서울 용산구 한강대로 405,20200116
서울 용산구,도로변대기,111122,한강대로,2020011712,0.005,1.1,0.007,0.057,84,44,서울 용산구 한강대로 405,20200117
서울 용산구,도로변대기,111122,한강대로,2020011812,0.007,1.1,0.011,0.046,100,50,서울 용산구 한강대로 405,20200118
서울 용산구,도로변대기,111122,한강대로,2020011912,0.005,0.9,0.012,0.04,79,54,서울 용산구 한강대로 405,20200119
서울 용산구,도로변대기,111122,한강대로,2020012012,0.005,0.6,0.015,0.037,52,18,서울 용산구 한강대로 405,20200120
서울 용산구,도로변대기,111122,한강대로,2020012112,0.005,0.8,0.009,0.052,65,28,서울 용산구 한강대로 405,20200121
서울 용산구,도로변대기,111122,한강대로,2020012212,0.006,1.1,0.005,0.055,59,30,서울 용산구 한강대로 405,20200122
서울 용산구,도로변대기,111122,한강대로,2020012312,0.006,1.1,0.006,0.065,93,50,서울 용산구 한강대로 405,20200123
서울 용산구,도로변대기,111122,한강대로,2020012412,0.005,0.9,0.015,0.039,85,46,서울 용산구 한강대로 405,20200124
서울 용산구,도로변대기,111122,한강대로,2020012512,0.004,0.6,0.018,0.026,30,19,서울 용산구 한강대로 405,20200125
서울 용산구,도로변대기,111122,한강대로,2020012612,0.004,0.5,0.017,0.023,32,17,서울 용산구 한강대로 405,20200126
서울 용산구,도로변대기,111122,한강대로,2020012712,0.003,0.4,0.026,0.017,19,,서울 용산구 한강대로 405,20200127
서울 용산구,도로변대기,111122,한강대로,2020012812,0.003,0.6,0.011,0.035,24,9,서울 용산구 한강대로 405,20200128
서울 용산구,도로변대기,111122,한강대로,2020012912,0.003,0.5,0.013,0.034,31,8,서울 용산구 한강대로 405,20200129
서울 용산구,도로변대기,111122,한강대로,2020013012,0.004,0.5,0.018,0.033,26,11,서울 용산구 한강대로 405,20200130
서울 용산구,도로변대기,111122,한강대로,2020013112,0.003,0.6,0.01,0.042,30,13,서울 용산구 한강대로 405,20200131
서울 종로구,도시대기,111123,종로구,2020010112,0.003,0.7,0.007,0.035,32,24,서울 종로구 종로35가길 19,20200101
서울 종로구,도시대기,111123,종로구,2020010212,0.005,1.1,0.003,0.054,65,,서울 종로구 종로35가길 19,20200102
서울 종로구,도시대기,111123,종로구,2020010312,0.006,0.8,0.02,0.026,64,42,서울 종로구 종로35가길 19,20200103
서울 종로구,도시대기,111123,종로구,2020010412,0.006,1.3,0.006,0.061,80,57,서울 종로구 종로35가길 19,20200104
서울 종로구,도시대기,111123,종로구,2020010512,0.006,1,0.014,0.04,63,47,서울 종로구 종로35가길 19,20200105
서울 종로구,도시대기,111123,종로구,2020010612,0.004,0.8,0.005,0.042,51,36,서울 종로구 종로35가길 19,20200106
서울 종로구,도시대기,111123,종로구,2020010712,0.003,0.8,0.004,0.038,14,10,서울 종로구 종로35가길 19,20200107
서울 종로구,도시대기,111123,종로구,2020010812,0.003,0.8,0.007,0.029,21,18,서울 종로구 종로35가길 19,20200108
서울 종로구,도시대기,111123,종로구,2020010912,0.004,0.6,0.021,0.018,55,44,서울 종로구 종로35가길 19,20200109
서울 종로구,도시대기,111123,종로구,2020011012,0.004,1.2,0.006,0.051,84,67,서울 종로구 종로35가길 19,20200110
서울 종로구,도시대기,111123,종로구,2020011112,0.005,0.9,0.015,0.038,62,51,서울 종로구 종로35가길 19,20200111
서울 종로구,도시대기,111123,종로구,2020011212,0.005,0.7,0.025,0.016,58,45,서울 종로구 종로35가길 19,20200112
서울 종로구,도시대기,111123,종로구,2020011312,0.004,0.5,0.019,0.018,30,20,서울 종로구 종로35가길 19,20200113
서울 종로구,도시대기,111123,종로구,2020011412,0.005,1,0.008,0.046,40,30,서울 종로구 종로35가길 19,20200114
서울 종로구,도시대기,111123,종로구,2020011512,0.006,0.6,0.022,0.021,37,23,서울 종로구 종로35가길 19,20200115
서울 종로구,도시대기,111123,종로구,2020011612,0.005,0.8,0.012,0.035,51,36,서울 종로구 종로35가길 19,20200116
서울 종로구,도시대기,111123,종로구,2020011712,0.005,0.9,0.011,0.043,59,42,서울 종로구 종로35가길 19,20200117
서울 종로구,도시대기,111123,종로구,2020011812,0.006,1,0.012,0.043,94,63,서울 종로구 종로35가길 19,20200118
서울 종로구,도시대기,111123,종로구,2020011912,0.004,0.9,0.011,0.041,64,47,서울 종로구 종로35가길 19,20200119
서울 종로구,도시대기,111123,종로구,2020012012,0.004,0.5,0.019,0.029,44,27,서울 종로구 종로35가길 19,20200120
서울 종로구,도시대기,111123,종로구,2020012112,0.005,0.7,0.012,0.039,44,27,서울 종로구 종로35가길 19,20200121
서울 종로구,도시대기,111123,종로구,2020012212,0.006,1,0.006,0.049,52,37,서울 종로구 종로35가길 19,20200122
서울 종로구,도시대기,111123,종로구,2020012312,0.005,1,0.017,0.043,71,50,서울 종로구 종로35가길 19,20200123
서울 종로구,도시대기,111123,종로구,2020012412,0.005,0.7,0.027,0.019,70,51,서울 종로구 종로35가길 19,20200124
서울 종로구,도시대기,111123,종로구,2020012512,0.005,0.7,0.016,0.029,38,29,서울 종로구 종로35가길 19,20200125
서울 종로구,도시대기,111123,종로구,2020012612,0.004,0.6,0.02,0.019,31,22,서울 종로구 종로35가길 19,20200126
