Date,Area,GEN,AGG,CNT
202001,서울 종로구,1,0,27
202001,서울 종로구,1,1,25
202001,서울 종로구,1,2,14
202001,서울 종로구,1,3,64
202001,서울 종로구,1,4,33
202001,서울 종로구,1,5,18
202001,서울 종로구,2,0,22
202001,서울 종로구,2,1,14
202001,서울 종로구,2,2,12
202001,서울 종로구,2,3,108
202001,서울 종로구,2,4,31
202001,서울 종로구,2,5,19
202001,서울 중구,1,0,27
202001,서울 중구,1,1,15
202001,서울 중구,1,2,5
202001,서울 중구,1,3,60
202001,서울 중구,1,4,14
202001,서울 중구,1,5,17
202001,서울 중구,2,0,30
202001,서울 중구,2,1,14
202001,서울 중구,2,2,6
202001,서울 중구,2,3,76
202001,서울 중구,2,4,25
202001,서울 중구,2,5,18
202001,서울 용산구,1,0,52
202001,서울 용산구,1,1,21
202001,서울 용산구,1,2,12
202001,서울 용산구,1,3,99
202001,서울 용산구,1,4,60
202001,서울 용산구,1,5,38
202001,서울 용산구,2,0,50
202001,서울 용산구,2,1,25
202001,서울 용산구,2,2,20
202001,서울 용산구,2,3,153
202001,서울 용산구,2,4,68
202001,서울 용산구,2,5,48
202001,서울 성동구,1,0,94
202001,서울 성동구,1,1,46
202001,서울 성동구,1,2,25
202001,서울 성동구,1,3,123
202001,서울 성동구,1,4,63
202001,서울 성동구,1,5,36
202001,서울 성동구,2,0,79
202001,서울 성동구,2,1,38
202001,서울 성동구,2,2,18
202001,서울 성동구,2,3,191
202001,서울 성동구,2,4,81
202001,서울 성동구,2,5,39
202001,서울 광진구,1,0,76
202001,서울 광진구,1,1,44
202001,서울 광진구,1,2,33
202001,서울 광진구,1,3,153
202001,서울 광진구,1,4,55
202001,서울 광진구,1,5,52
202001,서울 광진구,2,0,81
202001,서울 광진구,2,1,59
202001,서울 광진구,2,2,42
202001,서울 광진구,2,3,227
202001,서울 광진구,2,4,83
202001,서울 광진구,2,5,38
202001,서울 동대문구,1,0,77
202001,서울 동대문구,1,1,56
202001,서울 동대문구,1,2,43
202001,서울 동대문구,1,3,172
202001,서울 동대문구,1,4,55
202001,서울 동대문구,1,5,51
202001,서울 동대문구,2,0,79
202001,서울 동대문구,2,1,48
202001,서울 동대문구,2,2,30
202001,서울 동대문구,2,3,213
202001,서울 동대문구,2,4,89
202001,서울 동대문구,2,5,63
202001,서울 중랑구,1,0,111
202001,서울 중랑구,1,1,50
202001,서울 중랑구,1,2,26
