Date,Area,GEN,AGG,CNT
202001,서울 종로구,1,0,19
202001,서울 종로구,1,1,11
202001,서울 종로구,1,2,13
202001,서울 종로구,1,3,50
202001,서울 종로구,1,4,63
202001,서울 종로구,1,5,52
202001,서울 종로구,2,0,16
202001,서울 종로구,2,1,12
202001,서울 종로구,2,2,11
202001,서울 종로구,2,3,76
202001,서울 종로구,2,4,72
202001,서울 종로구,2,5,90
202001,서울 중구,1,0,40
202001,서울 중구,1,1,42
202001,서울 중구,1,2,15
202001,서울 중구,1,3,68
202001,서울 중구,1,4,62
202001,서울 중구,1,5,68
202001,서울 중구,2,0,33
202001,서울 중구,2,1,26
202001,서울 중구,2,2,11
202001,서울 중구,2,3,125
202001,서울 중구,2,4,109
202001,서울 중구,2,5,90
202001,서울 용산구,1,0,70
202001,서울 용산구,1,1,41
202001,서울 용산구,1,2,10
202001,서울 용산구,1,3,94
202001,서울 용산구,1,4,84
202001,서울 용산구,1,5,81
202001,서울 용산구,2,0,51
202001,서울 용산구,2,1,26
202001,서울 용산구,2,2,6
202001,서울 용산구,2,3,108
202001,서울 용산구,2,4,111
202001,서울 용산구,2,5,129
202001,서울 성동구,1,0,113
202001,서울 성동구,1,1,57
202001,서울 성동구,1,2,29
202001,서울 성동구,1,3,138
202001,서울 성동구,1,4,142
202001,서울 성동구,1,5,163
202001,서울 성동구,2,0,97
202001,서울 성동구,2,1,56
202001,서울 성동구,2,2,17
202001,서울 성동구,2,3,201
202001,서울 성동구,2,4,202
202001,서울 성동구,2,5,187
202001,서울 광진구,1,0,112
202001,서울 광진구,1,1,81
202001,서울 광진구,1,2,43
202001,서울 광진구,1,3,125
202001,서울 광진구,1,4,163
202001,서울 광진구,1,5,178
202001,서울 광진구,2,0,103
202001,서울 광진구,2,1,75
202001,서울 광진구,2,2,22
202001,서울 광진구,2,3,205
202001,서울 광진구,2,4,263
202001,서울 광진구,2,5,221
202001,서울 동대문구,1,0,150
202001,서울 동대문구,1,1,86
202001,서울 동대문구,1,2,35
202001,서울 동대문구,1,3,196
202001,서울 동대문구,1,4,183
202001,서울 동대문구,1,5,191
202001,서울 동대문구,2,0,128
202001,서울 동대문구,2,1,64
202001,서울 동대문구,2,2,26
202001,서울 동대문구,2,3,252
202001,서울 동대문구,2,4,268
202001,서울 동대문구,2,5,230
202001,서울 중랑구,1,0,160
202001,서울 중랑구,1,1,99
202001,서울 중랑구,1,2,30
202001,서울 중랑구,1,3,210
202001,서울 중랑구,1,4,241
202001,서울 중랑구,1,5,283
202001,서울 중랑구,2,0,121
202001,서울 중랑구,2,1,71
202001,서울 중랑구,2,2,30
202001,서울 중랑구,2,3,324
202001,서울 중랑구,2,4,430
202001,서울 중랑구,2,5,339
202001,서울 성북구,1,0,171
202001,서울 성북구,1,1,97
202001,서울 성북구,1,2,27
202001,서울 성북구,1,3,181
202001,서울 성북구,1,4,215
202001,서울 성북구,1,5,203
202001,서울 성북구,2,0,126
202001,서울 성북구,2,1,96
202001,서울 성북구,2,2,23
202001,서울 성북구,2,3,250
202001,서울 성북구,2,4,274
202001,서울 성북구,2,5,286
202001,서울 강북구,1,0,81
202001,서울 강북구,1,1,80
202001,서울 강북구,1,2,21
202001,서울 강북구,1,3,125
202001,서울 강북구,1,4,151
202001,서울 강북구,1,5,269
202001,서울 강북구,2,0,78
202001,서울 강북구,2,1,53
202001,서울 강북구,2,2,18
202001,서울 강북구,2,3,184
202001,서울 강북구,2,4,253
202001,서울 강북구,2,5,350
202001,서울 도봉구,1,0,133
202001,서울 도봉구,1,1,80
202001,서울 도봉구,1,2,24
202001,서울 도봉구,1,3,126
202001,서울 도봉구,1,4,153
202001,서울 도봉구,1,5,187
202001,서울 도봉구,2,0,94
202001,서울 도봉구,2,1,60
202001,서울 도봉구,2,2,13
202001,서울 도봉구,2,3,206
202001,서울 도봉구,2,4,270
202001,서울 도봉구,2,5,245
202001,서울 노원구,1,0,247
202001,서울 노원구,1,1,202
202001,서울 노원구,1,2,58
202001,서울 노원구,1,3,172
202001,서울 노원구,1,4,212
202001,서울 노원구,1,5,245
202001,서울 노원구,2,0,219
202001,서울 노원구,2,1,135
202001,서울 노원구,2,2,39
202001,서울 노원구,2,3,286
202001,서울 노원구,2,4,293
202001,서울 노원구,2,5,361
202001,서울 은평구,1,0,246
202001,서울 은평구,1,1,168
202001,서울 은평구,1,2,61
202001,서울 은평구,1,3,209
202001,서울 은평구,1,4,229
202001,서울 은평구,1,5,286
202001,서울 은평구,2,0,188
202001,서울 은평구,2,1,167
202001,서울 은평구,2,2,41
202001,서울 은평구,2,3,339
202001,서울 은평구,2,4,423
202001,서울 은평구,2,5,443
202001,서울 서대문구,1,0,108
202001,서울 서대문구,1,1,105
202001,서울 서대문구,1,2,46
202001,서울 서대문구,1,3,170
202001,서울 서대문구,1,4,196
202001,서울 서대문구,1,5,197
202001,서울 서대문구,2,0,91
202001,서울 서대문구,2,1,65
202001,서울 서대문구,2,2,29
202001,서울 서대문구,2,3,252
202001,서울 서대문구,2,4,338
202001,서울 서대문구,2,5,340
202001,서울 마포구,1,0,78
202001,서울 마포구,1,1,54
202001,서울 마포구,1,2,21
202001,서울 마포구,1,3,129
202001,서울 마포구,1,4,148
202001,서울 마포구,1,5,147
202001,서울 마포구,2,0,90
202001,서울 마포구,2,1,53
202001,서울 마포구,2,2,11
202001,서울 마포구,2,3,184
202001,서울 마포구,2,4,191
202001,서울 마포구,2,5,185
202001,서울 양천구,1,0,126
202001,서울 양천구,1,1,121
202001,서울 양천구,1,2,29
202001,서울 양천구,1,3,133
202001,서울 양천구,1,4,199
202001,서울 양천구,1,5,237
202001,서울 양천구,2,0,133
202001,서울 양천구,2,1,85
202001,서울 양천구,2,2,25
202001,서울 양천구,2,3,160
202001,서울 양천구,2,4,289
202001,서울 양천구,2,5,276
202001,서울 강서구,1,0,207
202001,서울 강서구,1,1,133
202001,서울 강서구,1,2,42
202001,서울 강서구,1,3,221
202001,서울 강서구,1,4,226
202001,서울 강서구,1,5,268
202001,서울 강서구,2,0,149
202001,서울 강서구,2,1,132
202001,서울 강서구,2,2,28
202001,서울 강서구,2,3,313
202001,서울 강서구,2,4,377
202001,서울 강서구,2,5,341
202001,서울 구로구,1,0,124
202001,서울 구로구,1,1,65
202001,서울 구로구,1,2,15
202001,서울 구로구,1,3,139
202001,서울 구로구,1,4,161
202001,서울 구로구,1,5,218
202001,서울 구로구,2,0,111
202001,서울 구로구,2,1,45
202001,서울 구로구,2,2,9
202001,서울 구로구,2,3,162
202001,서울 구로구,2,4,264
202001,서울 구로구,2,5,297
202001,서울 금천구,1,0,52
202001,서울 금천구,1,1,17
202001,서울 금천구,1,2,12
202001,서울 금천구,1,3,60
202001,서울 금천구,1,4,67
202001,서울 금천구,1,5,87
202001,서울 금천구,2,0,39
202001,서울 금천구,2,1,22
202001,서울 금천구,2,2,3
202001,서울 금천구,2,3,79
202001,서울 금천구,2,4,123
202001,서울 금천구,2,5,109
202001,서울 영등포구,1,0,125
202001,서울 영등포구,1,1,84
202001,서울 영등포구,1,2,38
202001,서울 영등포구,1,3,203
202001,서울 영등포구,1,4,244
202001,서울 영등포구,1,5,214
202001,서울 영등포구,2,0,109
202001,서울 영등포구,2,1,73
202001,서울 영등포구,2,2,20
202001,서울 영등포구,2,3,269
202001,서울 영등포구,2,4,332
202001,서울 영등포구,2,5,309
202001,서울 동작구,1,0,134
202001,서울 동작구,1,1,97
202001,서울 동작구,1,2,25
202001,서울 동작구,1,3,211
