지역,측정소명,측정소코드,측정일시,SO2,CO,O3,NO2,PM10,주소
서울,중구,111121,20130101,0.006,0.8,0.007,0.039,37,서울 중구 서소문동
서울,중구,111121,20130102,0.006,0.5,0.03,0.01,14,서울 중구 서소문동
서울,중구,111121,20130103,0.007,0.6,0.023,0.017,20,서울 중구 서소문동
서울,중구,111121,20130104,0.009,1.2,0.009,0.048,42,서울 중구 서소문동
서울,중구,111121,20130105,0.008,1.6,0.005,0.074,62,서울 중구 서소문동
서울,중구,111121,20130106,0.016,1.6,0.01,0.049,92,서울 중구 서소문동
서울,중구,111121,20130107,0.011,1.5,0.01,0.057,76,서울 중구 서소문동
서울,중구,111121,20130108,0.012,1.1,0.008,0.058,71,서울 중구 서소문동
서울,중구,111121,20130109,0.008,0.2,0.026,0.018,27,서울 중구 서소문동
서울,중구,111121,20130110,0.01,0.4,0.018,0.033,26,서울 중구 서소문동
서울,중구,111121,20130111,0.009,0.9,0.006,0.058,48,서울 중구 서소문동
서울,중구,111121,20130112,0.008,1,0.003,0.063,65,서울 중구 서소문동
서울,중구,111121,20130113,0.019,1.2,0.009,0.044,129,서울 중구 서소문동
서울,중구,111121,20130114,0.01,1.9,0.003,0.078,120,서울 중구 서소문동
서울,중구,111121,20130115,0.014,1.6,0.006,0.07,108,서울 중구 서소문동
서울,중구,111121,20130116,0.01,1.1,0.005,0.063,81,서울 중구 서소문동
서울,중구,111121,20130117,0.016,1,0.018,0.034,96,서울 중구 서소문동
서울,중구,111121,20130118,0.009,0.7,0.007,0.063,56,서울 중구 서소문동
서울,중구,111121,20130119,0.011,1,0.005,0.063,50,서울 중구 서소문동
서울,중구,111121,20130120,0.018,0.9,0.015,0.039,122,서울 중구 서소문동
서울,중구,111121,20130121,0.005,0.8,0.005,0.046,28,서울 중구 서소문동
서울,중구,111121,20130122,0.006,0.5,0.01,0.039,12,서울 중구 서소문동
서울,중구,111121,20130123,0.004,0.8,0.002,0.047,19,서울 중구 서소문동
서울,중구,111121,20130124,0.015,1,0.006,0.046,86,서울 중구 서소문동
서울,중구,111121,20130125,0.005,0.2,0.028,0.011,27,서울 중구 서소문동
서울,중구,111121,20130126,0.007,0.2,0.029,0.011,30,서울 중구 서소문동
서울,중구,111121,20130127,0.006,0.3,0.026,0.017,22,서울 중구 서소문동
서울,중구,111121,20130128,0.008,1.1,0.005,0.064,51,서울 중구 서소문동
서울,중구,111121,20130129,0.009,1.2,0.003,0.062,81,서울 중구 서소문동
서울,중구,111121,20130130,0.009,1.4,0.003,0.067,79,서울 중구 서소문동
서울,중구,111121,20130131,0.009,1.2,0.005,0.063,75,서울 중구 서소문동
서울,중구,111121,20130201,-999,-999,-999,-999,18,서울 중구 서소문동
서울,중구,111121,20130202,0.004,0.1,0.026,0.02,26,서울 중구 서소문동
서울,중구,111121,20130203,0.004,0.5,0.017,0.028,30,서울 중구 서소문동
서울,중구,111121,20130204,0.003,0.2,0.027,0.022,13,서울 중구 서소문동
서울,중구,111121,20130205,0.008,1.2,0.012,0.06,65,서울 중구 서소문동
서울,중구,111121,20130206,0.004,0.3,0.028,0.028,25,서울 중구 서소문동
서울,중구,111121,20130207,0.004,0.4,0.031,0.011,24,서울 중구 서소문동
서울,중구,111121,20130208,0.005,1.1,0.016,0.038,30,서울 중구 서소문동
서울,중구,111121,20130209,0.005,0.9,0.025,0.035,40,서울 중구 서소문동
서울,중구,111121,20130210,0.011,0.7,0.034,0.024,49,서울 중구 서소문동
서울,중구,111121,20130211,0.007,0.7,0.027,0.026,27,서울 중구 서소문동
서울,중구,111121,20130212,0.007,0.9,0.017,0.048,45,서울 중구 서소문동
서울,중구,111121,20130213,0.009,1,0.019,0.053,45,서울 중구 서소문동
서울,중구,111121,20130214,0.008,0.8,0.025,0.045,60,서울 중구 서소문동
서울,중구,111121,20130215,0.007,0.3,0.036,0.016,46,서울 중구 서소문동
서울,중구,111121,20130216,0.011,0.6,0.025,0.034,32,서울 중구 서소문동
서울,중구,111121,20130217,0.009,0.5,0.024,0.04,47,서울 중구 서소문동
서울,중구,111121,20130218,0.006,0.4,0.036,0.022,45,서울 중구 서소문동
서울,중구,111121,20130219,0.004,0.3,0.038,0.013,18,서울 중구 서소문동
서울,중구,111121,20130220,0.006,0.6,0.032,0.02,24,서울 중구 서소문동
서울,중구,111121,20130221,0.007,0.5,0.032,0.027,29,서울 중구 서소문동
서울,중구,111121,20130222,0.012,0.8,0.034,0.036,121,서울 중구 서소문동
서울,중구,111121,20130223,0.006,0.3,0.033,0.016,41,서울 중구 서소문동
서울,중구,111121,20130224,0.01,0.5,0.03,0.022,34,서울 중구 서소문동
