Date,Area,GEN,AGG,CNT
202001,서울 종로구,1,0,95
202001,서울 종로구,1,1,162
202001,서울 종로구,1,2,152
202001,서울 종로구,1,3,1095
202001,서울 종로구,1,4,884
202001,서울 종로구,1,5,536
202001,서울 종로구,2,0,107
202001,서울 종로구,2,1,145
202001,서울 종로구,2,2,144
202001,서울 종로구,2,3,1430
202001,서울 종로구,2,4,1088
202001,서울 종로구,2,5,745
202001,서울 중구,1,0,104
202001,서울 중구,1,1,117
202001,서울 중구,1,2,95
202001,서울 중구,1,3,933
202001,서울 중구,1,4,663
202001,서울 중구,1,5,483
202001,서울 중구,2,0,104
202001,서울 중구,2,1,128
202001,서울 중구,2,2,95
202001,서울 중구,2,3,1276
202001,서울 중구,2,4,938
202001,서울 중구,2,5,586
202001,서울 용산구,1,0,236
202001,서울 용산구,1,1,258
202001,서울 용산구,1,2,189
202001,서울 용산구,1,3,1673
202001,서울 용산구,1,4,1192
202001,서울 용산구,1,5,688
202001,서울 용산구,2,0,184
202001,서울 용산구,2,1,227
202001,서울 용산구,2,2,165
202001,서울 용산구,2,3,2169
202001,서울 용산구,2,4,1570
202001,서울 용산구,2,5,928
202001,서울 성동구,1,0,382
202001,서울 성동구,1,1,381
202001,서울 성동구,1,2,259
202001,서울 성동구,1,3,2379
202001,서울 성동구,1,4,1594
202001,서울 성동구,1,5,841
202001,서울 성동구,2,0,354
202001,서울 성동구,2,1,332
202001,서울 성동구,2,2,211
202001,서울 성동구,2,3,3215
202001,서울 성동구,2,4,2096
202001,서울 성동구,2,5,1106
202001,서울 광진구,1,0,335
202001,서울 광진구,1,1,381
202001,서울 광진구,1,2,321
202001,서울 광진구,1,3,2628
202001,서울 광진구,1,4,1849
202001,서울 광진구,1,5,1039
202001,서울 광진구,2,0,290
202001,서울 광진구,2,1,351
202001,서울 광진구,2,2,301
202001,서울 광진구,2,3,3946
202001,서울 광진구,2,4,2578
202001,서울 광진구,2,5,1287
202001,서울 동대문구,1,0,400
202001,서울 동대문구,1,1,499
202001,서울 동대문구,1,2,354
202001,서울 동대문구,1,3,2685
202001,서울 동대문구,1,4,1864
202001,서울 동대문구,1,5,1231
202001,서울 동대문구,2,0,365
202001,서울 동대문구,2,1,408
202001,서울 동대문구,2,2,273
202001,서울 동대문구,2,3,3679
202001,서울 동대문구,2,4,2591
202001,서울 동대문구,2,5,1486
202001,서울 중랑구,1,0,423
202001,서울 중랑구,1,1,506
202001,서울 중랑구,1,2,401
202001,서울 중랑구,1,3,3043
202001,서울 중랑구,1,4,2502
202001,서울 중랑구,1,5,1729
202001,서울 중랑구,2,0,407
202001,서울 중랑구,2,1,507
202001,서울 중랑구,2,2,367
202001,서울 중랑구,2,3,4289
202001,서울 중랑구,2,4,3725
202001,서울 중랑구,2,5,2106
202001,서울 성북구,1,0,450
202001,서울 성북구,1,1,625
202001,서울 성북구,1,2,495
202001,서울 성북구,1,3,3192
202001,서울 성북구,1,4,2423
202001,서울 성북구,1,5,1519
202001,서울 성북구,2,0,447
202001,서울 성북구,2,1,574
202001,서울 성북구,2,2,458
202001,서울 성북구,2,3,4402
202001,서울 성북구,2,4,3352
