Date,Gu_code,Gu,C34,J44,J20-22,Seoul,Area
201101,11680,강남구,121.8,239.5,12651,서울 ,서울 강남구
201102,11680,강남구,102.9,195.9,8714.2,서울 ,서울 강남구
201103,11680,강남구,109.1,240.9,11712.9,서울 ,서울 강남구
201104,11680,강남구,102.9,202.6,12802.3,서울 ,서울 강남구
201105,11680,강남구,134.3,221.7,13310.2,서울 ,서울 강남구
201106,11680,강남구,130.8,209.3,10708.7,서울 ,서울 강남구
201107,11680,강남구,142.1,180.3,8148.5,서울 ,서울 강남구
201108,11680,강남구,144.2,178.9,8253.9,서울 ,서울 강남구
201109,11680,강남구,143.5,180.5,12158.9,서울 ,서울 강남구
201110,11680,강남구,130.3,220.4,14877.8,서울 ,서울 강남구
201111,11680,강남구,124.1,223.3,14105.5,서울 ,서울 강남구
201112,11680,강남구,116.5,135.4,13742.2,서울 ,서울 강남구
201201,11680,강남구,160.6,263.2,15250.2,서울 ,서울 강남구
201202,11680,강남구,165.7,269.8,15299.4,서울 ,서울 강남구
201203,11680,강남구,112.5,197.6,16518.9,서울 ,서울 강남구
201204,11680,강남구,162.5,254,16900.1,서울 ,서울 강남구
201205,11680,강남구,151,201.7,13843.9,서울 ,서울 강남구
201206,11680,강남구,126.2,120.3,9148.4,서울 ,서울 강남구
201207,11680,강남구,174.9,186.8,7705.3,서울 ,서울 강남구
201208,11680,강남구,170,191.2,6982,서울 ,서울 강남구
201209,11680,강남구,119.3,119.5,11083.2,서울 ,서울 강남구
201210,11680,강남구,149.8,174.6,13469.8,서울 ,서울 강남구
201211,11680,강남구,128.7,128.3,14468.5,서울 ,서울 강남구
201212,11680,강남구,132.2,128.7,12863.8,서울 ,서울 강남구
201301,11680,강남구,141.2,140,13877.4,서울 ,서울 강남구
201302,11680,강남구,110,125.1,12756.6,서울 ,서울 강남구
201303,11680,강남구,132.4,134.3,15531.6,서울 ,서울 강남구
201304,11680,강남구,145.3,155.4,16540.7,서울 ,서울 강남구
201305,11680,강남구,132.7,127.4,13606.3,서울 ,서울 강남구
201306,11680,강남구,130.2,110.9,10280.9,서울 ,서울 강남구
201307,11680,강남구,165.7,142.5,8829.1,서울 ,서울 강남구
201308,11680,강남구,192.3,174.6,8439.3,서울 ,서울 강남구
201309,11680,강남구,135,116.4,12141.8,서울 ,서울 강남구
201310,11680,강남구,146.6,124.6,13747.9,서울 ,서울 강남구
201311,11680,강남구,147.4,109.3,15004.6,서울 ,서울 강남구
201312,11680,강남구,147.8,125.4,14006.4,서울 ,서울 강남구
201401,11680,강남구,129.6,123.3,14879.4,서울 ,서울 강남구
201402,11680,강남구,128.5,123.5,16944.9,서울 ,서울 강남구
201403,11680,강남구,143.2,117.5,14644,서울 ,서울 강남구
